VRM,mileage,CAP ID,Reg Date,Clean,Retail,ValuationDate,Mileage10000,CAPMan,CAPRange,CAPMod,CAPDer,ModIntroduced,ModDiscontinued,CAP Code
YG66EJC,15000,71263,01/09/2016,6575,8095,04/01/2024,,VAUXHALL,CORSA,CORSA HATCHBACK SPECIAL EDS,1.4 ecoFLEX Energy 3dr [AC],2014,2019,VACO14EGC3HPIM  5   
WR72KLV,8000,94313,30/09/2022,14750,16850,19/12/2023,,FIAT,500,500 ELECTRIC HATCHBACK,87kW Icon 42kWh 3dr Auto,2020,0,FI5000ICO3HE A  2   
YC70UNL,29000,86519,30/10/2020,11300,13400,19/12/2023,,NISSAN,QASHQAI,QASHQAI HATCHBACK,1.3 DiG-T 160 Acenta Premium 5dr,2017,2021,NIQQ13AP65HPTM  3   
FV17VDJ,49000,77085,27/06/2017,12650,14650,19/12/2023,,AUDI,A3,A3 SALOON SPECIAL EDITIONS,1.4 TFSI Black Edition 4dr S Tronic,2016,2018,AUA314BLK4SPTA  1   
DE70HZU,23000,78488,30/09/2020,12600,14600,19/12/2023,,VOLKSWAGEN,GOLF,GOLF ELECTRIC HATCHBACK,99kW e-Golf 35kWh 5dr Auto,2017,2020,VWGO00EGF5HE A  6   
EO67LYP,36000,80310,23/09/2017,5050,6550,03/01/2024,,SKODA,CITIGO,CITIGO HATCHBACK,1.0 MPI SE 5dr,2017,2019,SKCI10SE 5HPIM  1   
CJ19LGA,67000,85295,26/06/2019,9350,11150,02/01/2024,,SEAT,IBIZA,IBIZA HATCHBACK,1.0 TSI 115 FR Sport [EZ] 5dr,2017,2021,SEIB10FSZ5HPTM  8   
LS69FKL,55000,89907,30/09/2019,16650,19150,03/01/2024,,BMW,3 SERIES,3 SERIES SALOON,330e M Sport 4dr Auto,2019,2022,BM3E20MS 4SXTA  8   
LB69CEO,30000,89347,04/12/2019,19000,21000,19/12/2023,,TESLA,MODEL 3,MODEL 3 SALOON,Standard Plus 4dr Auto,2019,0,TEM300SP 4SE A      
YG20EUC,28000,83615,05/03/2020,11450,13450,19/12/2023,,FORD,FOCUS,FOCUS HATCHBACK,1.0 EcoBoost 125 ST-Line Nav 5dr,2018,2022,FOFO10TN55HPTM  6   
YL19WBX,33000,83644,25/06/2019,9200,11200,11/01/2024,,FORD,FOCUS,FOCUS HATCHBACK,1.0 EcoBoost 100 Zetec Nav 5dr,2018,2022,FOFO10Z0N5HPTM  6   
VE69TWW,36000,83294,13/12/2019,11300,13700,16/01/2024,,BMW,2 SERIES,2 SERIES GRAN TOURER,218i SE 5dr,2018,2021,BM2S15SE 5EPTM  1   
YY73JYL,2000,99101,20/09/2023,22600,24750,19/12/2023,,VAUXHALL,ASTRA,ASTRA HATCHBACK,1.2 Turbo 130 Ultimate 5dr Auto,2021,0,VAAS12ULT5HPTA  9   
LL21NHF,20000,94778,30/04/2021,14400,16495,10/01/2024,,VAUXHALL,MOKKA,MOKKA ELECTRIC HATCHBACK,100kW Launch Edition 50kWh 5dr Auto,2020,0,VAMK00LED5HE A  1   
WP20LUH,42000,91726,31/07/2020,9400,11200,16/01/2024,,FORD,FIESTA,FIESTA HATCHBACK,1.0 EcoBoost 95 Titanium X 5dr,2017,2021,FOFI10IX95HPTM  9   
KK68WJG,49000,83781,13/02/2019,12800,14800,19/12/2023,,MERCEDES-BENZ,A CLASS,A CLASS DIESEL HATCHBACK,A180d Sport 5dr Auto,2018,2022,MEAC15SPO5HDTA  6   
YB69TYZ,25000,89347,14/12/2019,19450,21500,19/12/2023,,TESLA,MODEL 3,MODEL 3 SALOON,Standard Plus 4dr Auto,2019,0,TEM300SP 4SE A      
EF70FYK,45000,89360,31/12/2020,11950,14050,07/12/2023,,HYUNDAI,TUCSON,TUCSON DIESEL ESTATE,1.6 CRDi 48V MHD SE Nav 5dr 2WD,2018,2021,HYTU16SNM5EDTM  3   
YM67LXC,43000,76723,31/01/2018,14150,16650,19/12/2023,,ALFA ROMEO,GIULIA,GIULIA DIESEL SALOON,2.2 JTDM-2 180 Speciale 4dr Auto,2016,2021,ALGU21SPE4SDTA      
WO21FFB,10000,90734,20/07/2021,13600,15695,19/12/2023,,MG MOTOR UK,ZS,ZS ELECTRIC HATCHBACK,105kW Exclusive EV 45kWh 5dr Auto,2019,2022,NMZS00ECV5HE A      
MC70SKD,12000,84978,24/10/2020,18800,20750,19/12/2023,,AUDI,Q2,Q2 DIESEL ESTATE,30 TDI Black Edition 5dr,2016,2020,AUQ2163BE5EDTM      
GJ21KZU,46000,95405,15/03/2021,14550,16650,19/12/2023,,PEUGEOT,3008,3008 DIESEL ESTATE,1.5 BlueHDi Allure Premium 5dr,2020,2024,PE3015AP 5EDTM  3   
GL17WXC,67000,66820,09/05/2017,5275,7095,18/01/2024,,SKODA,FABIA,FABIA HATCHBACK,1.2 TSI 90 SE L 5dr,2015,2018,SKFB12SL95HPTM  3   
NG71DLJ,5000,96778,30/11/2021,15450,17450,10/01/2024,,MINI,HATCHBACK,ELECTRIC HATCHBACK,135kW Cooper S Level 2 33kWh 3dr Auto,2021,2024,MNCS00CL23HE A  5   
YX70KNJ,30000,86477,11/09/2020,13900,16000,19/12/2023,,HONDA,HR-V,HR-V HATCHBACK,1.5 i-VTEC SE 5dr,2018,2021,HOHV15SE 5HPIM  1   
HJ67JCZ,52000,71003,26/09/2017,6700,8500,19/12/2023,,HONDA,JAZZ,JAZZ HATCHBACK,1.3 SE 5dr,2015,2017,HOJA13SE 5HPIM  3   
BP15UKB,61000,65248,20/07/2015,3925,5725,19/12/2023,,FORD,FOCUS,FOCUS HATCHBACK,1.0 EcoBoost Zetec 5dr,2014,2018,FOFO10ZE 5HPTM  5   
KU66NRO,54000,68789,01/09/2016,4425,6175,15/01/2024,,FIAT,500X,500X HATCHBACK,1.6 E-torQ Pop 5dr,2015,2018,FI5X16POP5HPIM      
AF69RFX,43000,86193,30/09/2019,9850,11950,19/12/2023,,NISSAN,QASHQAI,QASHQAI DIESEL HATCHBACK,1.5 dCi 115 Acenta Premium 5dr,2017,2020,NIQQ15AP15HDTM  3   
HK20OHB,33000,87893,31/07/2020,11950,14050,19/12/2023,,RENAULT,KADJAR,KADJAR HATCHBACK,1.3 TCE S Edition 5dr EDC,2019,2022,R1KJ13SED5HPTA  1   
LV69HGK,27000,83782,25/10/2019,15650,17650,19/12/2023,,MERCEDES-BENZ,A CLASS,A CLASS DIESEL HATCHBACK,A180d Sport Executive 5dr Auto,2018,2022,MEAC15SOE5HDTA  6   
SM69EFN,39000,89233,19/12/2019,21150,23500,19/12/2023,,TESLA,MODEL 3,MODEL 3 SALOON,Long Range AWD 4dr Auto,2019,0,TEM300LR 4SE A4     
HT21BWW,35000,90638,11/03/2021,9550,11850,19/12/2023,,RENAULT,CLIO,CLIO HATCHBACK,1.0 TCe 100 S Edition 5dr,2019,2023,R1CL10SED5HPTM  7   
EK67AVB,51000,77983,26/09/2017,4850,6350,09/01/2024,,HYUNDAI,I10,I10 HATCHBACK,1.0 SE 5dr,2017,2020,HYI110SE 5HPIM  3   
YH16DHZ,39000,64674,09/03/2016,7325,9325,19/12/2023,,AUDI,A3,A3 HATCHBACK,1.4 TFSI 125 Sport 3dr,2012,2016,AUA31412S3HPTM  3   
HY68XDJ,48000,85360,13/12/2018,7500,9300,19/12/2023,,SEAT,ARONA,ARONA HATCHBACK,1.0 TSI SE Technology [EZ] 5dr,2017,2021,SEAN10STZ5HPTM      
WL19UZD,20000,78488,21/08/2019,11200,13200,24/01/2024,,VOLKSWAGEN,GOLF,GOLF ELECTRIC HATCHBACK,99kW e-Golf 35kWh 5dr Auto,2017,2020,VWGO00EGF5HE A  6   
YG18COF,44000,78042,23/08/2018,8625,10650,19/12/2023,,SEAT,LEON,LEON HATCHBACK,1.4 TSI 125 FR Technology 5dr,2016,2020,SELE14FT25HPTM  4   
YK66LKY,62000,64147,12/09/2016,13300,15700,05/01/2024,,BMW,X3,X3 DIESEL ESTATE,xDrive20d M Sport 5dr Step Auto,2014,2017,BMX320M205EDTA4 3   
BL66WWE,56000,74493,30/11/2016,7750,9750,19/12/2023,,SEAT,LEON,LEON SPORT COUPE,1.4 EcoTSI 150 FR Titanium 3dr DSG,2013,2016,SELE14FTR3HPTA      
KU68YPF,42000,84867,10/09/2018,6075,7875,19/12/2023,,PEUGEOT,208,208 HATCHBACK,1.2 PureTech 82 Signature 5dr [Start Stop],2015,2019,PE2812SG 5HPIM  1   
YJ21SPA,39000,97261,30/06/2021,19150,21000,24/01/2024,,BMW,1 SERIES,1 SERIES DIESEL HATCHBACK,118d M Sport 5dr [Live Cockpit Pro/Pro pk],2019,0,BM1S20SLP5HDTM  4   
KF19RVL,44000,88527,27/06/2019,17850,20500,05/01/2024,,BMW,3 SERIES,3 SERIES SALOON,320i M Sport 4dr Step Auto,2019,2022,BM3A20MS 4SPTA  8   
GL69OME,27000,90541,16/12/2019,24300,26750,10/01/2024,,TESLA,MODEL 3,MODEL 3 SALOON,Performance AWD 4dr [Performance Upgrade] Auto,2019,0,TEM300PU 4SE A4     
FY17PXH,32000,77789,30/04/2017,6575,8095,19/12/2023,,TOYOTA,AYGO,AYGO HATCHBACK SPECIAL EDITIONS,1.0 VVT-i X-Clusiv 3 5dr,2014,2018,TOAY10XL35HPIM  3   
WP19ZKX,49000,86578,07/05/2019,19100,21750,19/12/2023,,AUDI,Q3,Q3 ESTATE,35 TFSI S Line 5dr S Tronic,2018,0,AUQ315SL 5EPTA  2   
NU72OWE,10000,94986,30/09/2022,15350,17350,16/01/2024,,CITROEN,C4,E-C4 ELECTRIC HATCHBACK,100kW Shine Plus 50kWh 5dr Auto,2020,0,CIC400SHP5HE A  3   
BT69FRN,31000,85354,31/01/2020,20600,23750,19/12/2023,,AUDI,Q5,Q5 DIESEL ESTATE,40 TDI Quattro Sport 5dr S Tronic,2016,2020,AUQ5204SO5EDTA4 2   
HD21GXP,31000,89485,24/08/2021,13500,15300,19/12/2023,,AUDI,A1,A1 SPORTBACK,25 TFSI Technik 5dr,2018,0,AUA110TEK5HPTM  2   
WR68SVC,35000,81345,29/10/2018,9900,12000,19/12/2023,,MITSUBISHI,ECLIPSE CROSS,ECLIPSE CROSS HATCHBACK,1.5 3 5dr,2017,2021,MIEC153  5HPTM      
PX16RVP,76000,69266,05/03/2016,6650,8650,17/01/2024,,VOLVO,V40,V40 DIESEL HATCHBACK,D3 [4 Cyl 150] R DESIGN Nav 5dr,2012,2019,VOV4206RN5HDTM      
YN66OWM,70000,73867,06/09/2016,14550,17350,24/01/2024,,MERCEDES-BENZ,E CLASS,E CLASS DIESEL SALOON,E220d AMG Line Premium 4dr 9G-Tronic,2016,2020,MEEC202LP4SDTA  7   
FP18HPY,29000,78842,30/04/2018,7950,9750,16/01/2024,,FORD,FIESTA,FIESTA HATCHBACK,1.0 EcoBoost ST-Line Navigation 3dr,2017,2021,FOFI10SLN3HPTM  9   
MM69TBV,34000,89233,23/12/2019,21350,23750,10/01/2024,,TESLA,MODEL 3,MODEL 3 SALOON,Long Range AWD 4dr Auto,2019,0,TEM300LR 4SE A4     
LC19NGX,37000,85762,04/06/2019,11750,13850,19/12/2023,,KIA,SPORTAGE,SPORTAGE DIESEL ESTATE,1.6 CRDi ISG 2 5dr,2018,2021,KISP162  5EDTM  5   
VK68ZFU,36000,84396,05/11/2018,7650,9450,19/12/2023,,PEUGEOT,2008,2008 ESTATE,1.2 PureTech Allure Premium 5dr [Start Stop],2016,2019,PE2012APS5EPIM  1   
YP69UUC,16000,88864,04/11/2019,16400,19250,19/12/2023,,VOLVO,S90,S90 SALOON,2.0 T4 Momentum Plus 4dr Geartronic,2017,2020,VOS920PM 4SPTA  1   
HV70HJD,43000,87893,03/09/2020,11700,13800,19/12/2023,,RENAULT,KADJAR,KADJAR HATCHBACK,1.3 TCE S Edition 5dr EDC,2019,2022,R1KJ13SED5HPTA  1   
FA16JSZ,34000,69251,30/06/2016,5125,6925,19/12/2023,,RENAULT,CLIO,CLIO HATCHBACK,1.2 16V Dynamique Nav 5dr,2013,2016,R1CL11DN 5HPIM  5   
FG67HFE,74000,77482,29/09/2017,14550,17350,19/12/2023,,BMW,5 SERIES,5 SERIES DIESEL SALOON,520d M Sport 4dr Auto,2017,2020,BM5F20MS 4SDTA  6   
GU67GRX,68000,79865,28/09/2017,11000,13000,19/12/2023,,AUDI,A3,A3 SPORTBACK SPECIAL EDITIONS,1.5 TFSI Black Edition 5dr,2016,2018,AUA315BLK5HPTM  4   
MT20PTY,18000,89893,30/07/2020,17550,19550,19/12/2023,,BMW,1 SERIES,1 SERIES DIESEL HATCHBACK,116d M Sport 5dr,2019,0,BM1S15MS 5HDTM  4   
KM69AFF,45000,84215,24/09/2019,17950,20500,19/12/2023,,MERCEDES-BENZ,C CLASS,C CLASS DIESEL ESTATE,C220d AMG Line 5dr 9G-Tronic,2018,2021,MECC20LMA5EDTA  6   
WG18XBC,55000,70378,21/06/2018,15800,18250,19/12/2023,,BMW,3 SERIES,3 SERIES DIESEL TOURING,330d M Sport 5dr Step Auto,2015,2019,BM3D30MS 5EDTA  7   
BG68GHB,22000,83129,30/09/2018,10200,11700,19/12/2023,,MINI,HATCHBACK,HATCHBACK,1.5 Cooper II 5dr,2014,2021,MNCO152  5HPTM  4   
YY71FTD,28000,98888,21/12/2021,31800,35750,12/01/2024,,BMW,iX3,iX3 ELECTRIC ESTATE,210kW M Sport 80kWh 5dr Auto,2021,0,BMX300M5T5EE A  5   
BT69CNK,60000,83034,15/11/2019,10900,12900,19/12/2023,,HONDA,CIVIC,CIVIC DIESEL HATCHBACK,1.6 i-DTEC EX 5dr,2018,2020,HOCI16EX 5HDTM  6   
KT69THF,43000,89867,06/01/2020,18700,21250,19/12/2023,,MERCEDES-BENZ,C CLASS,C CLASS DIESEL ESTATE,C220d AMG Line Edition 5dr 9G-Tronic,2018,2021,MECC20ALE5EDTA  6   
