VRM,Unused1,CAPMan,CAPMod,CAPDer,DFR,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Clean_Month,Unused10,Unused11,Retail_Month,Unused12,Unused13,Unused14,Unused15,Unused16,Unused17,Unused18,Unused19,Unused20,Clean_Live,Unused21,Unused22,Retail_Live,Live_Date,Month_Date
KP70RHF,,AUDI,Q2 ESTATE,35 TFSI S Line 5dr,01/09/2020,84968.0,46000,,,,,,,,,14900,,,16900,,,,,,,,,,15050,,,17050,2024-02-02,2024-01-29
RE67CYU,,PEUGEOT,3008 DIESEL ESTATE,1.6 BlueHDi 120 GT Line 5dr EAT6,01/09/2017,77740.0,41000,,,,,,,,,12000,,,14100,,,,,,,,,,12000,,,14100,2024-02-02,2024-01-29
FN68AVO,,DS,DS 7 CROSSBACK HATCHBACK,1.6 PureTech 180 Performance Line 5dr EAT8,01/09/2018,84489.0,54000,,,,,,,,,12900,,,15000,,,,,,,,,,12900,,,15000,2024-02-02,2024-01-29
MA70XVC,,AUDI,Q2 ESTATE,35 TFSI Sport 5dr S Tronic,01/09/2020,84966.0,23000,,,,,,,,,16650,,,18650,,,,,,,,,,16800,,,18850,2024-02-02,2024-01-29
DN67ZGC,,RENAULT,KADJAR DIESEL HATCHBACK,1.5 dCi Dynamique Nav 5dr,01/09/2017,70740.0,67000,,,,,,,,,6475,,,8500,,,,,,,,,,6475,,,8500,2024-02-02,2024-01-29
FP69KXH,,SEAT,LEON DIESEL HATCHBACK,1.6 TDI SE Dynamic [EZ] 5dr,01/09/2019,85098.0,75000,,,,,,,,,7650,,,9650,,,,,,,,,,7800,,,9825,2024-02-02,2024-01-29
BN72VMX,,CUPRA,BORN ELECTRIC HATCHBACK,150kW V1 58kWh 5dr Auto,01/09/2022,99439.0,7000,,,,,,,,,20750,,,23000,,,,,,,,,,20750,,,23000,2024-02-02,2024-01-29
AF21YFE,,TESLA,MODEL 3 SALOON,Standard Plus 4dr Auto,01/03/2021,89347.0,18000,,,,,,,,,21500,,,23750,,,,,,,,,,21300,,,23750,2024-02-02,2024-01-29
KW68XPV,,MERCEDES-BENZ,C CLASS DIESEL COUPE,C300d AMG Line Premium 2dr 9G-Tronic,01/09/2018,85981.0,47000,,,,,,,,,18200,,,20750,,,,,,,,,,18200,,,20750,2024-02-02,2024-01-29
DY23OAO,,VAUXHALL,MOKKA HATCHBACK,1.2 Turbo 136 Design 5dr,01/03/2023,101827.0,1000,,,,,,,,,15300,,,17395,,,,,,,,,,15450,,,17550,2024-02-02,2024-01-29
KK68WCM,,MERCEDES-BENZ,A CLASS DIESEL HATCHBACK,A180d Sport 5dr Auto,01/01/2019,83781.0,51000,,,,,,,,,12600,,,14600,,,,,,,,,,12600,,,14600,2024-02-02,2024-01-29
DP69OOH,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T 160 Tekna 5dr DCT,01/09/2019,87512.0,48000,,,,,,,,,13350,,,15450,,,,,,,,,,13650,,,15750,2024-02-02,2024-01-29
BF70ZCZ,,TOYOTA,AYGO HATCHBACK,1.0 VVT-i X-Trend TSS 5dr,01/09/2020,87974.0,16000,,,,,,,,,8925,,,10450,,,,,,,,,,8925,,,10450,2024-02-02,2024-01-29
AP70VBA,,VAUXHALL,GRANDLAND X HATCHBACK,1.2 Turbo Elite Nav 5dr Auto [8 Speed],01/09/2020,86008.0,14000,,,,,,,,,14350,,,16450,,,,,,,,,,14350,,,16450,2024-02-02,2024-01-29
DE17AYG,,AUDI,TT COUPE,2.0T FSI Sport 2dr,01/03/2017,65883.0,60000,,,,,,,,,10400,,,13350,,,,,,,,,,10600,,,13595,2024-02-02,2024-01-29
FG70ZDO,,VAUXHALL,CROSSLAND X HATCHBACK,1.2T [130] Elite 5dr [Start Stop],01/09/2020,79323.0,16000,,,,,,,,,9850,,,11950,,,,,,,,,,9850,,,11950,2024-02-02,2024-01-29
MC21LJO,,TOYOTA,YARIS HATCHBACK,1.5 Hybrid Icon 5dr CVT,01/03/2021,93353.0,26000,,,,,,,,,13200,,,15000,,,,,,,,,,13200,,,15000,2024-02-02,2024-01-29
YA69JNV,,TESLA,MODEL 3 SALOON,Performance AWD 4dr [Performance Upgrade] Auto,01/09/2019,90541.0,47000,,,,,,,,,22400,,,24750,,,,,,,,,,22200,,,24500,2024-02-02,2024-01-29
SK15NFM,,AUDI,Q5 DIESEL ESTATE,SQ5 Quattro 5dr Tip Auto,01/03/2015,56814.0,63000,,,,,,,,,14500,,,17000,,,,,,,,,,14500,,,17000,2024-02-02,2024-01-29
FE67KZP,,VOLKSWAGEN,GOLF DIESEL HATCHBACK,1.6 TDI GT 5dr DSG,01/09/2017,78467.0,53000,,,,,,,,,11000,,,13000,,,,,,,,,,11000,,,13000,2024-02-02,2024-01-29
